time,T_horno,T_preH_pos,T_preH_neg,P_out_pos,P_out_neg,T_out_pos,T_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire
09-16 16:05:55.45,21.8306,23.2717,21.8298,0.0,0.0,0.0,27.4816,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:55.96,21.8275,23.272,21.8331,0.0,0.0,0.0,27.492,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:56.48,21.8275,23.272,21.8331,0.0,0.0,0.0,27.492,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:56.99,21.829,23.2724,21.8316,0.0,0.0,0.0,27.4773,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:57.52,21.829,23.2724,21.8316,0.0,0.0,0.0,27.4773,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:58.03,21.8297,23.2701,21.8373,0.0,0.0,0.0,27.4675,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:58.54,21.8297,23.2701,21.8373,0.0,0.0,0.0,27.4675,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:59.05,21.8286,23.2645,21.8336,0.0,0.0,0.0,27.4774,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:59.58,21.8286,23.2645,21.8336,0.0,0.0,0.0,27.4774,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:00.09,21.8305,23.2686,21.834,0.0,0.0,0.0,27.4792,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
