time,T_horno,T_preH_pos,T_preH_neg,T_out_pos,T_out_neg,P_out_pos,P_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire
03-02 10:03:07.28,24.8864,23.1249,23.766,0.0,23.4149,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:07.55,24.8845,23.1249,23.7717,0.0,23.4213,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:07.81,24.8845,23.1249,23.7717,0.0,23.4213,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:08.08,24.8845,23.1249,23.7717,0.0,23.4213,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:08.35,24.8898,23.1196,23.7649,0.0,23.413,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:08.62,24.8898,23.1196,23.7649,0.0,23.413,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:08.88,24.8898,23.1196,23.7649,0.0,23.413,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:09.14,24.8898,23.1196,23.7649,0.0,23.413,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:09.41,24.8837,23.1259,23.764,0.0,23.4212,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:09.68,24.8837,23.1259,23.764,0.0,23.4212,21.0,54.0,0.0,-40.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:09.94,24.8837,23.1259,23.764,0.0,23.4212,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:10.21,24.8837,23.1259,23.764,0.0,23.4212,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:10.46,24.8916,23.1229,23.7648,0.0,23.4166,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:10.73,24.8916,23.1229,23.7648,0.0,23.4166,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:10.99,24.8916,23.1229,23.7648,0.0,23.4166,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:11.26,24.8916,23.1229,23.7648,0.0,23.4166,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:11.52,24.8844,23.1206,23.7701,0.0,23.4204,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:11.79,24.8844,23.1206,23.7701,0.0,23.4204,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:12.05,24.8844,23.1206,23.7701,0.0,23.4204,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:12.32,24.8873,23.1171,23.7654,0.0,23.4146,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:12.58,24.8873,23.1171,23.7654,0.0,23.4146,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:12.86,24.8873,23.1171,23.7654,0.0,23.4146,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:13.12,24.8873,23.1171,23.7654,0.0,23.4146,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:13.39,24.887,23.1228,23.7624,0.0,23.4131,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:13.65,24.887,23.1228,23.7624,0.0,23.4131,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:13.92,24.887,23.1228,23.7624,0.0,23.4131,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:14.18,24.887,23.1228,23.7624,0.0,23.4131,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:14.45,24.882,23.1205,23.7699,0.0,23.4222,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:14.71,24.882,23.1205,23.7699,0.0,23.4222,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:14.98,24.882,23.1205,23.7699,0.0,23.4222,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:15.24,24.882,23.1205,23.7699,0.0,23.4222,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:15.51,24.8822,23.1173,23.7724,0.0,23.4137,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:15.78,24.8822,23.1173,23.7724,0.0,23.4137,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:16.05,24.8822,23.1173,23.7724,0.0,23.4137,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:16.31,24.8909,23.1298,23.7626,0.0,23.4129,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:16.58,24.8909,23.1298,23.7626,0.0,23.4129,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:16.84,24.8909,23.1298,23.7626,0.0,23.4129,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:17.10,24.8909,23.1298,23.7626,0.0,23.4129,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:17.37,24.8913,23.131,23.7633,0.0,23.416,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:17.64,24.8913,23.131,23.7633,0.0,23.416,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:17.90,24.8913,23.131,23.7633,0.0,23.416,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:18.16,24.8913,23.131,23.7633,0.0,23.416,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:18.42,24.8761,23.1161,23.7584,0.0,23.4076,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:18.68,24.8761,23.1161,23.7584,0.0,23.4076,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:18.94,24.8761,23.1161,23.7584,0.0,23.4076,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:19.21,24.8761,23.1161,23.7584,0.0,23.4076,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:19.47,24.8897,23.1264,23.7678,0.0,23.4246,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:19.73,24.8897,23.1264,23.7678,0.0,23.4246,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:19.99,24.8897,23.1264,23.7678,0.0,23.4246,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:20.26,24.8897,23.1264,23.7678,0.0,23.4246,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:20.52,24.8897,23.1237,23.7606,0.0,23.4178,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:20.79,24.8897,23.1237,23.7606,0.0,23.4178,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:21.06,24.8897,23.1237,23.7606,0.0,23.4178,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:21.33,24.888,23.1224,23.7657,0.0,23.4188,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:21.59,24.888,23.1224,23.7657,0.0,23.4188,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:21.86,24.888,23.1224,23.7657,0.0,23.4188,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:22.12,24.888,23.1224,23.7657,0.0,23.4188,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:22.39,24.8865,23.1178,23.7684,0.0,23.4161,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:22.65,24.8865,23.1178,23.7684,0.0,23.4161,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:22.92,24.8865,23.1178,23.7684,0.0,23.4161,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:23.18,24.8865,23.1178,23.7684,0.0,23.4161,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:23.45,24.8831,23.1213,23.7608,0.0,23.4206,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:23.71,24.8831,23.1213,23.7608,0.0,23.4206,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:23.98,24.8831,23.1213,23.7608,0.0,23.4206,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:24.24,24.8831,23.1213,23.7608,0.0,23.4206,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:24.51,24.888,23.1163,23.7669,0.0,23.4142,21.0,54.0,0.0,-40.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:24.77,24.888,23.1163,23.7669,0.0,23.4142,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:25.04,24.888,23.1163,23.7669,0.0,23.4142,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:25.30,24.8858,23.1178,23.7653,0.0,23.4168,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:25.57,24.8858,23.1178,23.7653,0.0,23.4168,21.0,54.0,0.0,-40.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:25.83,24.8858,23.1178,23.7653,0.0,23.4168,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
